Movie Name,Total Cast,Genre
Beauty and the Beast,"('Alec Murphy', 'Alvin Epstein', 'Angela Lansbury', 'Bradley Pierce', 'Brian Cummings', 'David Ogden Stiers', 'Jerry Orbach', 'Jesse Corti', 'Jo Anne Worley', 'Mary Kay Bergman', 'Rex Everhart', 'Richard White', 'Tony Jay', ""Paige O'Hara"", 'Robby Benson')","['Fantasy', 'Romance', 'Animation', 'Family', 'Musical']"
Small Axe: Lovers Rock,"('Alexander James-Blake', 'Frankie Fox', 'Jermaine Freeman', 'Romario Simpson', 'Saffron Coomber', 'Amarah-Jae St. Aubyn', 'Daniel Francis-Swaby', 'Ellis George', 'Francis Lovehall', 'Joshua Viner', 'Kadeem Ramsay', 'Kedar Williams-Stirling', 'Marcus Fraser', 'Micheal Ward', 'Shaniqua Okwok')",['Drama']
Toy Story,"('Annie Potts', 'Don Rickles', 'Erik von Detten', 'Jack Angel', 'Jim Varney', 'John Morris', 'John Morris', 'John Ratzenberger', 'Laurie Metcalf', 'Penn Jillette', 'R. Lee Ermey', 'Sarah Freeman', 'Spencer Aste', 'Wallace Shawn', 'Tim Allen', 'Tom Hanks')","['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
The Bride of Frankenstein,"('Anne Darling', 'Dwight Frye', 'Mary Gordon', 'O.P. Heggie', 'Reginald Barlow', 'Boris Karloff', 'Colin Clive', 'Douglas Walton', 'E.E. Clive', 'Elsa Lanchester', 'Ernest Thesiger', 'Gavin Gordon', 'Lucien Prival', ""Una O'Connor"", 'Valerie Hobson')","['Sci-Fi', 'Drama', 'Horror']"
Don't Look Now,"('Adelina Poerio', 'Bruno Cattaneo', 'Nicholas Salter', 'Sharon Williams', 'Ann Rye', 'Clelia Matania', 'David Tree', 'Donald Sutherland', 'Giorgio Trestini', 'Hilary Mason', 'Julie Christie', 'Leopoldo Trieste', 'Massimo Serato', 'Renato Scarpa')","['Drama', 'Thriller', 'Horror']"
The Social Network,"('Adina Porter', 'Alecia Svensen', 'Armie Hammer', 'Brenda Song', 'Bryan Barter', 'Caleb Landry Jones', 'Calvin Dean', 'Cherilyn Wilson', 'Dakota Johnson', 'Denise Grayson', 'Dustin Fitzsimons', 'James Dastoli', 'Jami Owen', 'Jayk Gallagher', 'Joseph Mazzello', 'Malese Jow', 'Marcella Lentz-Pope', 'Max Minghella', 'Patrick Mapel', 'Rashida Jones', 'Robert Dastoli', 'Rooney Mara', 'Scotty Crowe', 'Shelby Young', 'Toby Meuli', 'Trevor Wright', 'Andrew Garfield', 'Jesse Eisenberg', 'Justin Timberlake')","['Biography', 'Drama', 'History', 'Comedy']"
My Fair Lady,"('Elizabeth Aimers', 'Helen Albrecht', 'John Alderson', 'LaWana Backer', 'Mary Alexander', 'Audrey Hepburn', 'Gladys Cooper', 'Isobel Elsom', 'Jeremy Brett', 'John Holland', 'Mona Washbourne', 'Rex Harrison', 'Stanley Holloway', 'Theodore Bikel', 'Wilfrid Hyde-White')","['Drama', 'Romance', 'Family', 'Musical']"
Portrait of a Lady on Fire,"('Adele Haenel', 'Armande Boulanger', 'Cécile Morel', 'Christel Baras', 'Clément Bouyssou', 'Guy Delamarche', 'Luàna Bajrami', 'Michèle Clément', 'Noémie Merlant', 'Valeria Golino')","['Drama', 'History', 'Romance']"
I Am Not Your Negro,"('Dick Cavett', 'James Baldwin', 'Samuel L. Jackson', 'Shumerria Harris')",['Documentary']
Woodstock,"('Bob Davis', 'Canned Heat', 'Jimi Hendrix', 'John Sebastian', 'Santana', 'Sly and the Family Stone', 'Arlo Guthrie', 'Country Joe and the Fish', 'Crosby Stills & Nash', 'Joan Baez', 'Joe Cocker', 'Richie Havens', 'Sha-Na-Na', 'Ten Years After', 'The Who')","['History', 'Music', 'Documentary']"
